"month","consumption"
"Jan",14086.6719376431
"Feb",13085.6637145812
"Mar",14709.4670298591
"Apr",14058.370644253
"May",14767.4390568708
"Jun",13958.074621321
"Jul",14333.1291059544
"Aug",14465.3105003018
"Sep",13988.0486132055
"Oct",14584.5867391495
"Nov",13940.9816501895
"Dec",14170.5370815237
