"Year","Observations","Mean","SD","Min","Max"
2018,12,13623.974071925,610.174219812154,12097.2966310381,14342.8979296544
2019,12,14036.6295140833,574.85453076894,12616.7716945418,14694.2339605227
2020,12,13578.8274371554,695.872455685849,11685.3465709403,14291.2951619223
2021,12,13904.2409769049,748.08462785861,12675.2868268468,14879.946884162
2022,12,14401.6486859931,577.058438418176,12833.7719623619,14950.4574272542
2023,12,14812.1606585187,705.885289566988,13128.7287683072,15763.3587190411
2024,6,15544.2658397798,672.901724547519,14560.9309886451,16396.7751739946
