"date","sector","consumption"
2018-01-01,"total",13156.104056111
2018-02-01,"total",12097.2966310381
2018-03-01,"total",14028.9794929631
2018-04-01,"total",13604.8216885531
2018-05-01,"total",13934.6827246332
2018-06-01,"total",13347.7072477584
2018-07-01,"total",14252.2131825572
2018-08-01,"total",14342.8979296544
2018-09-01,"total",13359.0518901009
2018-10-01,"total",14082.3657774534
2018-11-01,"total",13550.9932343094
2018-12-01,"total",13730.5750079677
2019-01-01,"total",14108.8325445889
2019-02-01,"total",12616.7716945418
2019-03-01,"total",14632.3369740684
2019-04-01,"total",14371.7251673082
2019-05-01,"total",14694.2339605227
2019-06-01,"total",13546.9680958153
2019-07-01,"total",14501.5354526151
2019-08-01,"total",14356.7395532845
2019-09-01,"total",13967.9393565201
2019-10-01,"total",14104.1103403365
2019-11-01,"total",13727.2326221158
2019-12-01,"total",13811.1284072828
2020-01-01,"total",14196.1602209696
2020-02-01,"total",13556.9681394011
2020-03-01,"total",13522.3907984136
2020-04-01,"total",11685.3465709403
2020-05-01,"total",13263.175715859
2020-06-01,"total",13290.3180822186
2020-07-01,"total",13866.9361963778
2020-08-01,"total",14262.4162227904
2020-09-01,"total",13726.8932985983
2020-10-01,"total",14291.2951619223
2020-11-01,"total",13434.773193759
2020-12-01,"total",13849.2556446147
2021-01-01,"total",13569.2430900065
2021-02-01,"total",12805.1778177731
2021-03-01,"total",14849.6039431274
2021-04-01,"total",14349.4560085704
2021-05-01,"total",14451.4512462512
2021-06-01,"total",12675.2868268468
2021-07-01,"total",13227.8386299221
2021-08-01,"total",13589.0547425968
2021-09-01,"total",13810.4933405778
2021-10-01,"total",14879.946884162
2021-11-01,"total",14137.3710348295
2021-12-01,"total",14505.968158195
2022-01-01,"total",14321.2226654378
2022-02-01,"total",12833.7719623619
2022-03-01,"total",14840.0997600713
2022-04-01,"total",14471.66809783
2022-05-01,"total",14868.3958577939
2022-06-01,"total",14507.1428670195
2022-07-01,"total",14950.4574272542
2022-08-01,"total",14930.6582954844
2022-09-01,"total",14273.3803294355
2022-10-01,"total",14555.4502820228
2022-11-01,"total",14072.6887921233
2022-12-01,"total",14194.8478950822
2023-01-01,"total",14079.3728663879
2023-02-01,"total",13128.7287683072
2023-03-01,"total",14900.1917019665
2023-04-01,"total",14417.522463522
2023-05-01,"total",15763.3587190411
2023-06-01,"total",14907.699525
2023-07-01,"total",15199.793747
2023-08-01,"total",15310.096258
2023-09-01,"total",14790.533464
2023-10-01,"total",15594.351989
2023-11-01,"total",14722.831024
2023-12-01,"total",14931.447376
2024-01-01,"total",15175.76812
2024-02-01,"total",14560.9309886451
2024-03-01,"total",16192.6665384037
2024-04-01,"total",15508.0545130471
2024-05-01,"total",16396.7751739946
2024-06-01,"total",15431.3997045884
