"Lag","ACF","PACF"
1,0.098824214212443,0.098824214212443
2,-0.382992454438737,-0.396632279966684
3,-0.22247163284158,-0.156286481922608
4,-0.105017843071079,-0.265705922384559
5,-0.0103017610545034,-0.182593852937314
6,0.0864820319484609,-0.132613600390331
7,0.0247611817454667,-0.18638229968399
8,0.0563304695132156,-0.0484427248493782
9,0.148966764388969,0.0796388392515674
10,0.139663233628073,0.213912320128515
11,-0.159922680327525,-0.000123852518578428
12,-0.547049676775098,-0.460034380850364
13,0.0126645541894916,0.0390612124964469
14,0.320889748971901,-0.110429458277748
15,0.247465872207241,0.125032426134329
16,0.0389413680917334,-0.0405715577824624
17,-0.0805128079421271,0.0584848796455871
18,-0.162867070797501,-0.0305022208198822
19,0.00194240594653988,0.0866049034759565
20,0.00956791222469479,0.0284868246831106
21,-0.115682216745396,-0.0488463738857549
22,0.0760185533279944,0.25112486672112
23,0.0655490924886288,-0.208280047316897
24,0.0348575352459325,-0.280877563896505
