"Lag","ACF","PACF"
1,-0.547210842374606,-0.547210842374606
2,0.208231058677313,-0.130193857856034
3,-0.161078682849772,-0.150345512908312
4,-0.0990832245312276,-0.353064947372075
5,0.250779498220802,0.0316929843723623
6,-0.332590758940516,-0.277737910284569
7,0.283725875511489,-0.139159124754488
8,-0.0935720261055275,0.0471943699393668
9,-0.0440578993318776,-0.159680780845609
10,0.249381127376198,0.198935933913785
11,-0.514638777947952,-0.356612539588792
12,0.533381613435005,0.0905197883655143
13,-0.453198390937444,-0.203033408097022
14,0.328568220131365,-0.0405834868343882
15,-0.0898207236935779,-0.0122013907052788
16,-0.0526487548864201,0.0310179802139971
17,0.19637245878944,0.00122911721174801
18,-0.306820980838296,-0.0148164332947435
19,0.239056846442862,-0.0121628233501302
20,-0.069578246259116,0.149332512268279
21,-0.0952935060864359,-0.0232653017530649
22,0.222385745486746,-0.00924960191996852
23,-0.372817551296046,-0.0477082536731535
24,0.428733114761522,-0.052603607185909
