"Model","Drift","AIC","AICc","BIC"
"ARIMA(0,1,1) without drift",FALSE,1040.59340234808,1040.78695073518,1044.94217688787
"ARIMA(0,1,1) with drift",TRUE,1040.54303927328,1040.93648189624,1047.06620108297
