"Model","p","d","q","P","D","Q","AIC","AICc","Delta_AICc"
"SARIMA(0,1,1)(1,0,1)[12]",0,1,1,1,0,1,1024.53816126917,1025.20482793584,0
"SARIMA(0,1,2)(1,0,0)[12]",0,1,2,1,0,0,1032.92882653381,1033.59549320047,8.39066526463557
"SARIMA(0,1,1)(1,0,0)[12]",0,1,1,1,0,0,1037.31596703905,1037.709409662,12.5045817261662
"SARIMA(1,1,1)(0,0,1)[12]",1,1,1,0,0,1,1037.92210536921,1038.58877203588,13.383944100043
"SARIMA(0,1,1)(0,0,1)[12]",0,1,1,0,0,1,1038.99724587262,1039.39068849557,14.1858605597333
"SARIMA(0,1,2)(0,0,1)[12]",0,1,2,0,0,1,1038.93646238156,1039.60312904823,14.3983011123883
"SARIMA(1,1,0)(0,0,1)[12]",1,1,0,0,0,1,1045.52091354546,1045.91435616841,20.7095282325706
