"Model","p","d","q","AIC","AICc","BIC","Delta_AICc"
"ARIMA(0,1,1)",0,1,1,1040.59340234808,1040.78695073518,1044.94217688787,0
"ARIMA(1,1,1)",1,1,1,1042.2759052784,1042.66934790135,1048.79906708809,1.8823971661734
"ARIMA(1,1,0)",1,1,0,1046.85547091801,1047.04901930511,1051.2042454578,6.26206856992917
