"Model","Ljung_Box_Lag","Statistic","DF","P_Value","Residual_ACF_Lag12"
"SARIMA(0,1,1)(1,0,1)[12]",24,31.7963799001828,21,0.0613872623123605,-0.178748800218151
"SARIMA(0,1,2)(0,1,1)[12]",24,23.2774948957865,21,0.329363263548815,-0.203470726818598
