"Model","MAE","RMSE","MAPE"
"ARIMA(0,1,1)",728.886687937771,900.042498369264,4.64587178129275
"SARIMA(0,1,1)(1,0,1)[12]",291.608412661419,317.595691050274,1.90709822642794
